Season,Team,Player,Salary
2009-10,Atlanta Hawks,Randolph Morris,855189
2009-10,Atlanta Hawks,Mario West,446740
2009-10,Atlanta Hawks,Othello Hunter,307564
2009-10,Boston Celtics,Paul Pierce,19795712
2009-10,Boston Celtics,Ray Allen,18776860
2009-10,Boston Celtics,Kevin Garnett,16400000
2009-10,Boston Celtics,Rasheed Wallace,5854000
2009-10,Boston Celtics,Kendrick Perkins,4250000
2009-10,Boston Celtics,Nate Robinson,4000000
2009-10,Boston Celtics,Brian Scalabrine,3413793
2009-10,Boston Celtics,Glen Davis,3000000
2009-10,Boston Celtics,Tony Allen,2500000
2009-10,Boston Celtics,Rajon Rondo,2094922
2009-10,Boston Celtics,Marquis Daniels,1990000
2009-10,Boston Celtics,Shelden Williams,825497
2009-10,Boston Celtics,Marcus Landry,457588
2009-10,Boston Celtics,Lester Hudson,193802
2009-10,Charlotte Bobcats,Tyson Chandler,11850000
2009-10,Charlotte Bobcats,Gerald Wallace,9075000
2009-10,Charlotte Bobcats,Boris Diaw,9000000
2009-10,Charlotte Bobcats,Stephen Jackson,7650000
2009-10,Charlotte Bobcats,Nazr Mohammed,6466600
2009-10,Charlotte Bobcats,DeSagana Diop,6031800
2009-10,Charlotte Bobcats,Raymond Felton,5501196
2009-10,Charlotte Bobcats,Tyrus Thomas,4743598
2009-10,Charlotte Bobcats,D.J. Augustin,2385480
2009-10,Charlotte Bobcats,Gerald Henderson,1957080
2009-10,Charlotte Bobcats,Alexis Ajinca,1372080
2009-10,Charlotte Bobcats,Theo Ratliff,1306455
2009-10,Charlotte Bobcats,Stephen Graham,884881
2009-10,Charlotte Bobcats,Derrick Brown,457588
2009-10,Chicago Bulls,Brad Miller,12250000
2009-10,Chicago Bulls,Luol Deng,10370425
2009-10,Chicago Bulls,Kirk Hinrich,9500000
2009-10,Chicago Bulls,Jerome James,6600000
2009-10,Chicago Bulls,Tim Thomas,6466600
2009-10,Chicago Bulls,Derrick Rose,5184480
2009-10,Chicago Bulls,Hakim Warrick,3000000
2009-10,Chicago Bulls,Joe Alexander,2583360
2009-10,Chicago Bulls,Joakim Noah,2455680
2009-10,Chicago Bulls,Acie Law,2216160
2009-10,Chicago Bulls,Jannero Pargo,2000000
2009-10,Chicago Bulls,Ronald Murray,1990000
2009-10,Chicago Bulls,James Johnson,1594080
2009-10,Chicago Bulls,Lindsey Hunter,1306455
2009-10,Chicago Bulls,Devin Brown,1100000
2009-10,Chicago Bulls,Taj Gibson,1039800
2009-10,Chicago Bulls,Chris Richard,43319
2009-10,Cleveland Cavaliers,Shaquille O'Neal,20000000
2009-10,Cleveland Cavaliers,LeBron James,15779912
2009-10,Cleveland Cavaliers,Antawn Jamison,11641095
2009-10,Cleveland Cavaliers,Mo Williams,8860000
2009-10,Cleveland Cavaliers,Anderson Varejao,6300000
2009-10,Cleveland Cavaliers,Delonte West,4254250
2009-10,Cleveland Cavaliers,Daniel Gibson,4088500
2009-10,Cleveland Cavaliers,Jamario Moon,2750000
2009-10,Cleveland Cavaliers,Anthony Parker,2644230
2009-10,Cleveland Cavaliers,Sebastian Telfair,2500000
2009-10,Cleveland Cavaliers,J.J. Hickson,1429200
2009-10,Cleveland Cavaliers,Leon Powe,855189
2009-10,Cleveland Cavaliers,Darnell Jackson,736420
2009-10,Cleveland Cavaliers,Jawad Williams,736420
2009-10,Cleveland Cavaliers,Danny Green,457588
2009-10,Cleveland Cavaliers,Coby Karl,311896
2009-10,Cleveland Cavaliers,Cedric Jackson,53834
2009-10,Dallas Mavericks,Dirk Nowitzki,19795714
2009-10,Dallas Mavericks,Erick Dampier,12115500
2009-10,Dallas Mavericks,Jason Terry,9862500
2009-10,Dallas Mavericks,Caron Butler,9780970
2009-10,Dallas Mavericks,Jason Kidd,8000000
2009-10,Dallas Mavericks,Shawn Marion,6635068
2009-10,Dallas Mavericks,Brendan Haywood,6000000
2009-10,Dallas Mavericks,Matt Carroll,4700000
2009-10,Dallas Mavericks,DeShawn Stevenson,3886928
2009-10,Dallas Mavericks,Eduardo Najera,3100000
2009-10,Dallas Mavericks,J.J. Barea,1657500
2009-10,Dallas Mavericks,Tim Thomas,1306455
2009-10,Dallas Mavericks,Rodrigue Beaubois,1075440
2009-10,Dallas Mavericks,Greg Buckner,1000000
2009-10,Denver Nuggets,Carmelo Anthony,15779912
2009-10,Denver Nuggets,Kenyon Martin,15363636
2009-10,Denver Nuggets,Chauncey Billups,12100000
2009-10,Denver Nuggets,Nene Hilario,10520000
2009-10,Denver Nuggets,J.R. Smith,5508426
2009-10,Denver Nuggets,Chris Andersen,3650000
2009-10,Denver Nuggets,Antonio McDyess,3000000
2009-10,Denver Nuggets,Renaldo Balkman,2112417
2009-10,Denver Nuggets,Ty Lawson,1438690
2009-10,Denver Nuggets,Anthony Carter,1306455
2009-10,Denver Nuggets,Malik Allen,1300000
2009-10,Denver Nuggets,Arron Afflalo,1086240
2009-10,Denver Nuggets,Joey Graham,884881
2009-10,Denver Nuggets,Johan Petro,884881
2009-10,Detroit Pistons,Richard Hamilton,11625000
2009-10,Detroit Pistons,Tayshaun Prince,10324380
2009-10,Detroit Pistons,Ben Gordon,10000000
2009-10,Detroit Pistons,Charlie Villanueva,6500000
2009-10,Detroit Pistons,Jason Maxiell,5000000
2009-10,Detroit Pistons,Kwame Brown,4100000
2009-10,Detroit Pistons,Chris Wilcox,3000000
2009-10,Detroit Pistons,Rodney Stuckey,1805040
2009-10,Detroit Pistons,Fabricio Oberto,1800000
2009-10,Detroit Pistons,Austin Daye,1677840
2009-10,Detroit Pistons,Chucky Atkins,1306455
2009-10,Detroit Pistons,Ben Wallace,1306445
2009-10,Detroit Pistons,Will Bynum,825497
2009-10,Detroit Pistons,DaJuan Summers,457588
2009-10,Detroit Pistons,Jonas Jerebko,457588
2009-10,Golden State Warriors,Monta Ellis,11000000
2009-10,Golden State Warriors,Andris Biedrins,9000000
2009-10,Golden State Warriors,Corey Maggette,8937931
2009-10,Golden State Warriors,Vladimir Radmanovic,6466600
2009-10,Golden State Warriors,Raja Bell,5250000
2009-10,Golden State Warriors,Speedy Claxton,5209454
2009-10,Golden State Warriors,Ronny Turiaf,4140000
2009-10,Golden State Warriors,Kelenna Azubuike,3132000
2009-10,Golden State Warriors,Stephen Curry,2710560
2009-10,Golden State Warriors,Brandan Wright,2671440
2009-10,Golden State Warriors,Anthony Randolph,1837560
2009-10,Golden State Warriors,Devean George,1600000
2009-10,Golden State Warriors,C.J. Watson,1000497
2009-10,Golden State Warriors,Anthony Morrow,736420
2009-10,Golden State Warriors,Chris Hunter,632455
2009-10,Golden State Warriors,Mikki Moore,537952
2009-10,Golden State Warriors,Anthony Tolliver,359546
2009-10,Golden State Warriors,Cartier Martin,86638
2009-10,Golden State Warriors,Coby Karl,43319
2009-10,Houston Rockets,Yao Ming,16378325
2009-10,Houston Rockets,Kevin Martin,10180170
2009-10,Houston Rockets,Shane Battier,6864200
2009-10,Houston Rockets,Jared Jeffries,6466600
2009-10,Houston Rockets,Trevor Ariza,5854000
2009-10,Houston Rockets,Brian Cook,3500000
2009-10,Houston Rockets,Luis Scola,3375600
2009-10,Houston Rockets,Hilton Armstrong,2801198
2009-10,Houston Rockets,Jordan Hill,2483280
2009-10,Houston Rockets,David Andersen,2300000
2009-10,Houston Rockets,Chuck Hayes,2111750
2009-10,Houston Rockets,Brent Barry,2062800
2009-10,Houston Rockets,Kyle Lowry,2034997
2009-10,Houston Rockets,Aaron Brooks,1118520
2009-10,Houston Rockets,Jermaine Taylor,725000
2009-10,Houston Rockets,Chase Budinger,457588
2009-10,Houston Rockets,Garrett Temple,180344
2009-10,Houston Rockets,Pops Mensah-Bonsu,87406
2009-10,Houston Rockets,Mike Harris,64978
2009-10,Houston Rockets,Will Conroy,48559
2009-10,Indiana Pacers,Troy Murphy,11047619
2009-10,Indiana Pacers,Danny Granger,9930500
2009-10,Indiana Pacers,Mike Dunleavy,9780992
2009-10,Indiana Pacers,T.J. Ford,8500000
2009-10,Indiana Pacers,Jeff Foster,6077500
2009-10,Indiana Pacers,Jamaal Tinsley,5200000
2009-10,Indiana Pacers,Earl Watson,2800000
2009-10,Indiana Pacers,Dahntay Jones,2500000
2009-10,Indiana Pacers,Brandon Rush,1934160
2009-10,Indiana Pacers,Tyler Hansbrough,1859160
2009-10,Indiana Pacers,Travis Diener,1740000
2009-10,Indiana Pacers,Solomon Jones,1620000
2009-10,Indiana Pacers,Roy Hibbert,1575360
2009-10,Indiana Pacers,Luther Head,884881
2009-10,Indiana Pacers,Josh McRoberts,825497
2009-10,Indiana Pacers,A.J. Price,457588
2009-10,Los Angeles Clippers,Baron Davis,12150000
2009-10,Los Angeles Clippers,Chris Kaman,10400000
2009-10,Los Angeles Clippers,Blake Griffin,4983480
2009-10,Los Angeles Clippers,Steve Blake,4930000
2009-10,Los Angeles Clippers,Drew Gooden,4500000
2009-10,Los Angeles Clippers,Travis Outlaw,4000000
2009-10,Los Angeles Clippers,Rasual Butler,3945000
2009-10,Los Angeles Clippers,Mark Madsen,2840000
2009-10,Los Angeles Clippers,Eric Gordon,2819880
2009-10,Los Angeles Clippers,Craig Smith,2500000
2009-10,Los Angeles Clippers,Ricky Davis,2484000
2009-10,Los Angeles Clippers,Mardy Collins,1867742
2009-10,Los Angeles Clippers,Brian Skinner,1306455
2009-10,Los Angeles Clippers,Steve Novak,855189
2009-10,Los Angeles Clippers,Bobby Brown,736420
2009-10,Los Angeles Clippers,DeAndre Jordan,736420
2009-10,Los Angeles Clippers,Kareem Rush,534906
2009-10,Los Angeles Clippers,JamesOn Curry,26917
2009-10,Los Angeles Lakers,Kobe Bryant,23034375
2009-10,Los Angeles Lakers,Pau Gasol,16452000
2009-10,Los Angeles Lakers,Andrew Bynum,12526998
2009-10,Los Angeles Lakers,Lamar Odom,7500000
2009-10,Los Angeles Lakers,Metta World Peace,5854000
2009-10,Los Angeles Lakers,Adam Morrison,5257229
2009-10,Los Angeles Lakers,Derek Fisher,5048000
2009-10,Los Angeles Lakers,Sasha Vujacic,5000000
2009-10,Los Angeles Lakers,Luke Walton,4840000
2009-10,Los Angeles Lakers,Shannon Brown,2000000
2009-10,Los Angeles Lakers,Jordan Farmar,1947240
2009-10,Los Angeles Lakers,D.J. Mbenga,959111
2009-10,Los Angeles Lakers,Josh Powell,959111
2009-10,Memphis Grizzlies,Zach Randolph,16000000
2009-10,Memphis Grizzlies,Marko Jaric,7100000
2009-10,Memphis Grizzlies,Hasheem Thabeet,4458840
2009-10,Memphis Grizzlies,O.J. Mayo,4165560
2009-10,Memphis Grizzlies,Mike Conley,3883800
2009-10,Memphis Grizzlies,Steven Hunter,3696000
2009-10,Memphis Grizzlies,Rudy Gay,3280997
2009-10,Memphis Grizzlies,Marc Gasol,3240000
2009-10,Memphis Grizzlies,Ronnie Brewer,2717161
2009-10,Memphis Grizzlies,Jerry Stackhouse,2000000
2009-10,Memphis Grizzlies,Hamed Haddadi,1627779
2009-10,Memphis Grizzlies,Darrell Arthur,1050480
2009-10,Memphis Grizzlies,DeMarre Carroll,1009680
2009-10,Memphis Grizzlies,Jamaal Tinsley,990300
2009-10,Memphis Grizzlies,Marcus Williams,855189
2009-10,Memphis Grizzlies,Sam Young,824200
2009-10,Memphis Grizzlies,Lester Hudson,199185
2009-10,Memphis Grizzlies,Allen Iverson,161386
2009-10,Memphis Grizzlies,Trey Gilder,26917
2009-10,Miami Heat,Jermaine O'Neal,23016000
2009-10,Miami Heat,Dwyane Wade,15779912
2009-10,Miami Heat,Quentin Richardson,9352400
2009-10,Miami Heat,Udonis Haslem,7100000
2009-10,Miami Heat,Michael Beasley,4638600
2009-10,Miami Heat,James Jones,4320000
2009-10,Miami Heat,Dorell Wright,2750000
2009-10,Miami Heat,Daequan Cook,1362120
2009-10,Miami Heat,Jamaal Magloire,1229225
2009-10,Miami Heat,Carlos Arroyo,1107572
2009-10,Miami Heat,Yakhouba Diawara,945000
2009-10,Miami Heat,Joel Anthony,825497
2009-10,Miami Heat,Mario Chalmers,773500
2009-10,Miami Heat,Rafer Alston,753133
2009-10,Miami Heat,Shavlik Randolph,255054
2009-10,Milwaukee Bucks,Michael Redd,17040000
2009-10,Milwaukee Bucks,Andrew Bogut,10000000
2009-10,Milwaukee Bucks,Dan Gadzuric,6749260
2009-10,Milwaukee Bucks,Luke Ridnour,6500000
2009-10,Milwaukee Bucks,John Salmons,5456000
2009-10,Milwaukee Bucks,Kurt Thomas,3800000
2009-10,Milwaukee Bucks,Charlie Bell,3596000
2009-10,Milwaukee Bucks,Carlos Delfino,3500000
2009-10,Milwaukee Bucks,Brandon Jennings,2168520
2009-10,Milwaukee Bucks,Ersan Ilyasova,2100000
2009-10,Milwaukee Bucks,Bruce Bowen,2000000
2009-10,Milwaukee Bucks,Primoz Brezec,1107572
2009-10,Milwaukee Bucks,Royal Ivey,1050000
2009-10,Milwaukee Bucks,Luc Mbah a Moute,736420
2009-10,Milwaukee Bucks,Jerry Stackhouse,668598
2009-10,Milwaukee Bucks,Roko Ukic,303232
2009-10,Minnesota Timberwolves,Al Jefferson,12000000
2009-10,Minnesota Timberwolves,Mark Blount,7962500
2009-10,Minnesota Timberwolves,Darko Milicic,7500000
2009-10,Minnesota Timberwolves,Antonio Daniels,5863580
2009-10,Minnesota Timberwolves,Ryan Gomes,3867500
2009-10,Minnesota Timberwolves,Ramon Sessions,3670667
2009-10,Minnesota Timberwolves,Kevin Love,3401040
2009-10,Minnesota Timberwolves,Damien Wilkins,3300000
2009-10,Minnesota Timberwolves,Jonny Flynn,2969280
2009-10,Minnesota Timberwolves,Corey Brewer,2916120
2009-10,Minnesota Timberwolves,Ryan Hollins,2183333
2009-10,Minnesota Timberwolves,Oleksiy Pecherov,1547640
2009-10,Minnesota Timberwolves,Sasha Pavlovic,1500000
2009-10,Minnesota Timberwolves,Alando Tucker,1071720
2009-10,Minnesota Timberwolves,Wayne Ellington,1003560
2009-10,Minnesota Timberwolves,Chucky Atkins,760000
2009-10,Minnesota Timberwolves,Nathan Jawai,736420
2009-10,New Jersey Nets,Bobby Simmons,10560000
2009-10,New Jersey Nets,Devin Harris,8400000
2009-10,New Jersey Nets,Tony Battie,6292000
2009-10,New Jersey Nets,Trenton Hassell,4350000
2009-10,New Jersey Nets,Rafer Alston,4300000
2009-10,New Jersey Nets,Keyon Dooling,3564000
2009-10,New Jersey Nets,Kris Humphries,3200000
2009-10,New Jersey Nets,Yi Jianlian,3194400
2009-10,New Jersey Nets,Shawne Williams,2416067
2009-10,New Jersey Nets,Brook Lopez,2225880
2009-10,New Jersey Nets,Jarvis Hayes,2062800
2009-10,New Jersey Nets,Terrence Williams,2060040
2009-10,New Jersey Nets,Josh Boone,2056968
2009-10,New Jersey Nets,Sean Williams,1629120
2009-10,New Jersey Nets,Courtney Lee,1264440
2009-10,New Jersey Nets,Chris Quinn,1055000
2009-10,New Jersey Nets,Chris Douglas-Roberts,736000
2009-10,New Orleans Hornets,Chris Paul,13520500
2009-10,New Orleans Hornets,Peja Stojakovic,13392000
2009-10,New Orleans Hornets,Emeka Okafor,10538937
2009-10,New Orleans Hornets,David West,9075000
2009-10,New Orleans Hornets,Morris Peterson,6212960
2009-10,New Orleans Hornets,James Posey,6031800
2009-10,New Orleans Hornets,Darius Songaila,4526000
2009-10,New Orleans Hornets,Julian Wright,2000040
2009-10,New Orleans Hornets,Darren Collison,1266120
2009-10,New Orleans Hornets,Sean Marks,1187686
2009-10,New Orleans Hornets,Aaron Gray,1000497
2009-10,New Orleans Hornets,Ike Diogu,884881
2009-10,New Orleans Hornets,Marcus Thornton,457888
2009-10,New Orleans Hornets,Jason Hart,69518
2009-10,New York Knicks,Tracy McGrady,23239562
2009-10,New York Knicks,Eddy Curry,10500423
2009-10,New York Knicks,Al Harrington,10026875
2009-10,New York Knicks,Cuttino Mobley,9500000
2009-10,New York Knicks,David Lee,7000000
2009-10,New York Knicks,Brian Cardinal,6750000
2009-10,New York Knicks,Chris Duhon,6031800
2009-10,New York Knicks,Danilo Gallinari,3089040
2009-10,New York Knicks,Eddie House,2862000
2009-10,New York Knicks,Sergio Rodriguez,1892035
2009-10,New York Knicks,Wilson Chandler,1255440
2009-10,New York Knicks,J.R. Giddens,1028880
2009-10,New York Knicks,Toney Douglas,996240
2009-10,New York Knicks,Jonathan Bender,801361
2009-10,New York Knicks,Henry Walker,736420
2009-10,Oklahoma City Thunder,Etan Thomas,7350000
2009-10,Oklahoma City Thunder,Earl Watson,6600000
2009-10,Oklahoma City Thunder,Matt Harpring,6500000
2009-10,Oklahoma City Thunder,Nick Collison,6250000
2009-10,Oklahoma City Thunder,Nenad Krstic,5400000
2009-10,Oklahoma City Thunder,Kevin Durant,4796880
2009-10,Oklahoma City Thunder,James Harden,4054160
2009-10,Oklahoma City Thunder,Russell Westbrook,3755640
2009-10,Oklahoma City Thunder,Jeff Green,3516960
2009-10,Oklahoma City Thunder,Thabo Sefolosha,2759628
2009-10,Oklahoma City Thunder,Eric Maynor,1318920
2009-10,Oklahoma City Thunder,Kevin Ollie,1306455
2009-10,Oklahoma City Thunder,Byron Mullens,1120200
2009-10,Oklahoma City Thunder,Serge Ibaka,1120200
2009-10,Oklahoma City Thunder,D.J. White,1036440
2009-10,Oklahoma City Thunder,Kyle Weaver,870968
2009-10,Oklahoma City Thunder,Shaun Livingston,296695
2009-10,Oklahoma City Thunder,Ryan Bowen,209592
2009-10,Oklahoma City Thunder,Mike Wilks,175908
2009-10,Oklahoma City Thunder,Antonio Anderson,139968
2009-10,Orlando Magic,Rashard Lewis,18876000
2009-10,Orlando Magic,Vince Carter,16300000
2009-10,Orlando Magic,Dwight Howard,15202590
2009-10,Orlando Magic,Jameer Nelson,6138888
2009-10,Orlando Magic,Marcin Gortat,5854000
2009-10,Orlando Magic,Mickael Pietrus,5300000
2009-10,Orlando Magic,Brandon Bass,4000000
2009-10,Orlando Magic,J.J. Redick,2839408
2009-10,Orlando Magic,Anthony Johnson,2160000
2009-10,Orlando Magic,Matt Barnes,1600000
2009-10,Orlando Magic,Ryan Anderson,1317120
2009-10,Orlando Magic,Adonal Foyle,1306455
2009-10,Orlando Magic,Jason Williams,1306455
2009-10,Philadelphia 76ers,Elton Brand,14858471
2009-10,Philadelphia 76ers,Andre Iguodala,12200000
2009-10,Philadelphia 76ers,Samuel Dalembert,12025694
2009-10,Philadelphia 76ers,Jason Kapono,6212960
2009-10,Philadelphia 76ers,Lou Williams,4972500
2009-10,Philadelphia 76ers,Willie Green,3682000
2009-10,Philadelphia 76ers,Thaddeus Young,2105400
2009-10,Philadelphia 76ers,Francisco Elson,1700000
2009-10,Philadelphia 76ers,Marreese Speights,1658280
2009-10,Philadelphia 76ers,Jrue Holiday,1514280
2009-10,Philadelphia 76ers,Jason Smith,1418880
2009-10,Philadelphia 76ers,Allen Iverson,1029794
2009-10,Philadelphia 76ers,Rodney Carney,855189
2009-10,Philadelphia 76ers,Jodie Meeks,650000
2009-10,Phoenix Suns,Amar'e Stoudemire,16378325
2009-10,Phoenix Suns,Jason Richardson,13333333
2009-10,Phoenix Suns,Steve Nash,13125000
2009-10,Phoenix Suns,Leandro Barbosa,6600000
2009-10,Phoenix Suns,Grant Hill,3000000
2009-10,Phoenix Suns,Channing Frye,2000000
2009-10,Phoenix Suns,Goran Dragic,1836000
2009-10,Phoenix Suns,Earl Clark,1766280
2009-10,Phoenix Suns,Robin Lopez,1745520
2009-10,Phoenix Suns,Jared Dudley,1307640
2009-10,Phoenix Suns,Sasha Pavlovic,1250000
2009-10,Phoenix Suns,Jarron Collins,1181803
2009-10,Phoenix Suns,Lou Amundson,855189
2009-10,Phoenix Suns,Taylor Griffin,457588
2009-10,Phoenix Suns,Jason Hart,451866
2009-10,Portland Trailblazers,Darius Miles,9000000
2009-10,Portland Trailblazers,Marcus Camby,7650000
2009-10,Portland Trailblazers,Joel Przybilla,6857725
2009-10,Portland Trailblazers,Andre Miller,6730800
2009-10,Portland Trailblazers,LaMarcus Aldridge,5844827
2009-10,Portland Trailblazers,Greg Oden,5361240
2009-10,Portland Trailblazers,Martell Webster,4344000
2009-10,Portland Trailblazers,Brandon Roy,3910816
2009-10,Portland Trailblazers,Jerryd Bayless,2143080
2009-10,Portland Trailblazers,Juwan Howard,1306455
2009-10,Portland Trailblazers,Rudy Fernandez,1165320
2009-10,Portland Trailblazers,Nicolas Batum,1118760
2009-10,Portland Trailblazers,Dante Cunningham,457588
2009-10,Portland Trailblazers,Jeff Ayres,457588
2009-10,Portland Trailblazers,Patty Mills,457588
2009-10,Portland Trailblazers,Shavlik Randolph,88488
2009-10,Portland Trailblazers,Anthony Tolliver,51983
2009-10,Sacramento Kings,Larry Hughes,13655268
2009-10,Sacramento Kings,Kenny Thomas,8775000
2009-10,Sacramento Kings,Andres Nocioni,7500000
2009-10,Sacramento Kings,Shareef Abdur-Rahim,6600000
2009-10,Sacramento Kings,Beno Udrih,6031800
2009-10,Sacramento Kings,Francisco Garcia,5800000
2009-10,Sacramento Kings,Tyreke Evans,3610080
2009-10,Sacramento Kings,Carl Landry,3000000
2009-10,Sacramento Kings,Spencer Hawes,2332800
2009-10,Sacramento Kings,Jason Thompson,2035920
2009-10,Sacramento Kings,Mikki Moore,2000000
2009-10,Sacramento Kings,Omri Casspi,1167000
2009-10,Sacramento Kings,Donte Greene,1044000
2009-10,Sacramento Kings,Sean May,884881
